Sno,Name (Party),Total Assets in Lok Sabha 2024,Total Assets in Lok Sabha 2019,Asset Increase,% Increase in Asset,Remarks
1,Dr Gaddam Ranjith Reddy (INC),"4,35,49,09,793435 Crore+","1,63,46,95,131163 Crore+","2,72,02,14,662272 Crore+",166%,Party in last election was TRS
2,D K Suresh (INC),"5,93,05,25,395593 Crore+","3,38,89,20,717338 Crore+","2,54,16,04,678254 Crore+",75%,
3,Poonamben Hematbhai Maadam (BJP),"1,47,70,02,341147 Crore+","42,73,31,03442 Crore+","1,04,96,71,307104 Crore+",246%,
4,Pocha Brahmananda Reddy (YSRCP),"1,47,74,74,610147 Crore+","58,59,32,91158 Crore+","89,15,41,69989 Crore+",152%,
5,Anurag Sharma (BJP),"2,12,07,65,800212 Crore+","1,24,30,60,113124 Crore+","87,77,05,68787 Crore+",71%,
6,P V Midhun Reddy (YSRCP),"1,46,85,01,685146 Crore+","66,50,85,70166 Crore+","80,34,15,98480 Crore+",121%,
7,Rao Inderjit Singh (BJP),"1,21,54,22,868121 Crore+","42,09,70,75442 Crore+","79,44,52,11479 Crore+",189%,
8,Ranjeetsingh Hindurao Naik Nimbalkar (BJP),"2,05,82,58,375205 Crore+","1,27,51,60,578127 Crore+","78,30,97,79778 Crore+",61%,
10,Mohammed Badruddin Ajmal (All India United Democratic Front),"1,55,07,16,648155 Crore+","78,80,64,04478 Crore+","76,26,52,60476 Crore+",97%,Party in last election was AIUDF
11,Vincent H. Pala (INC),"1,25,81,59,331125 Crore+","54,95,15,42154 Crore+","70,86,43,91070 Crore+",129%,
12,Nakul Nath (INC),"7,16,94,05,139716 Crore+","6,60,19,46,757660 Crore+","56,74,58,38256 Crore+",9%,
13,Sanjay (Kaka) Patil (BJP),"75,77,76,67275 Crore+","19,11,92,18719 Crore+","56,65,84,48556 Crore+",296%,
14,Nama Nageswara Rao (BRS),"1,55,90,58,791155 Crore+","1,07,46,71,341107 Crore+","48,43,87,45048 Crore+",45%,Party in last election was TRS
15,Maneka Sanjay Gandhi (BJP),"97,17,79,47997 Crore+","55,69,26,45155 Crore+","41,48,53,02841 Crore+",74%,
16,K Navaskani (Indian Union Muslim League),"76,14,30,42076 Crore+","36,47,38,17136 Crore+","39,66,92,24939 Crore+",109%,Party in last election was IUML
17,Lavu Srikrishna Devarayalu (TDP),"56,65,48,46656 Crore+","17,77,10,07317 Crore+","38,88,38,39338 Crore+",219%,Party in last election was YSRCP
19,Balashowry Vallabhaneni (Janasena Party),"1,33,72,14,564133 Crore+","99,05,75,84099 Crore+","34,66,38,72434 Crore+",35%,Party in last election was YSRCP
20,Magunta Sreenivasulu Reddy (TDP),"57,95,39,82057 Crore+","26,65,83,68626 Crore+","31,29,56,13431 Crore+",117%,Party in last election was YSRCP
21,Prajwal Revanna (Janata Dal (Secular)),"40,88,71,06040 Crore+","9,78,48,6329 Crore+","31,10,22,42831 Crore+",318%,Party in last election was JD(S)
22,Kanimozhi Karunanidhi (DMK),"60,40,56,59060 Crore+","30,33,73,13030 Crore+","30,06,83,46030 Crore+",99%,
23,Dm Kathir Anand (DMK),"88,79,65,64388 Crore+","58,75,79,45158 Crore+","30,03,86,19230 Crore+",51%,
24,Shrirang Appa Chandu Barne (Shiv Sena),"1,31,85,91,631131 Crore+","1,02,33,10,134102 Crore+","29,52,81,49729 Crore+",29%,Party in last election was SHS
25,Sangeeta Kumari Singh Deo (BJP),"67,30,60,63067 Crore+","37,95,90,85137 Crore+","29,34,69,77929 Crore+",77%,
26,Nishikant Dubey (BJP),"74,69,74,20874 Crore+","46,27,57,50046 Crore+","28,42,16,70828 Crore+",61%,
28,Raju Bista (BJP),"47,53,57,26847 Crore+","19,53,73,46019 Crore+","27,99,83,80827 Crore+",143%,
29,Supriya Sule (Nationalist Congress Party – Sharadchandra Pawar),"1,66,51,86,348166 Crore+","1,40,88,88,704140 Crore+","25,62,97,64425 Crore+",18%,Party in last election was NCP
