14-PC WISE DISTRIBUTION OF VOTES POLLED,,,,,,,,,,,,,,,,,
State/UT,Sl. No.,PC No.,PC NAME,ELECTORS,,Valid Votes Polled,,NOTA,,,Rejected/Not Retrived Votes,,Total Voters,Tendered Votes,Test Votes,Voter Turn Out(%),% Votes to NOTA Out of Total Votes Polled
,,,,General,Service,EVM,Postal,EVM,Postal,Total,EVM,Postal,,,,,
Andhra Pradesh,1,1,Araku (ST),1554633,2520,1092808,21167,50205,265,50470,0,1342,1165787,2,0,74.87,4.33
Andhra Pradesh,2,2,Srikakulam,1631174,15512,1184414,26667,24498,107,24605,5216,267,1241169,0,0,75.37,1.98
Andhra Pradesh,3,3,Vizianagaram,1585206,5788,1255613,20379,23097,153,23250,6612,1778,1307632,37,0,82.19,1.78
Andhra Pradesh,4,4,Visakhapatnam,1927303,4095,1361624,20188,5171,142,5313,3765,240,1391130,0,0,72.03,0.38
Andhra Pradesh,5,5,Anakapalle,1596916,4449,1280264,18833,26084,151,26235,3253,141,1328726,0,0,82.97,1.97
Andhra Pradesh,6,6,Kakinada,1634122,799,1295665,16918,17105,115,17220,0,1583,1331386,31,0,81.43,1.29
Andhra Pradesh,7,7,Amalapuram (SC),1531410,819,1271539,16049,13418,100,13518,0,828,1301934,20,0,84.97,1.04
Andhra Pradesh,8,8,Rajahmundry,1623149,703,1287449,13413,24302,133,24435,2140,1725,1329162,29,0,81.85,1.84
Andhra Pradesh,9,9,Narsapuram,1472923,888,1209797,13800,7554,125,7679,0,1277,1232553,7,0,83.63,0.62
Andhra Pradesh,10,10,Eluru,1637430,686,1344513,15021,22371,144,22515,3891,2050,1387990,6,0,84.73,1.62
Andhra Pradesh,11,11,Machilipatnam,1539460,585,1280049,19829,12008,118,12126,2027,1458,1315489,7,0,85.42,0.92
Andhra Pradesh,12,12,Vijayawada,1704077,392,1338489,16723,9038,155,9193,5818,879,1371102,13,0,80.44,0.67
Andhra Pradesh,13,13,Guntur,1791543,1781,1396851,21133,7210,177,7387,9217,2940,1437528,0,0,80.16,0.51
Andhra Pradesh,14,14,Narsaraopet,1734858,1304,1471793,16577,11120,79,11199,3653,1655,1504877,18,0,86.68,0.74
Andhra Pradesh,15,15,Bapatla (SC),1506354,4823,1268823,18199,13599,124,13723,5195,2303,1308243,49,0,86.57,1.05
Andhra Pradesh,16,16,Ongole,1607832,6693,1388108,20901,13066,139,13205,0,3744,1425958,2,0,88.32,0.93
Andhra Pradesh,17,17,Nandyal,1721013,3178,1374469,19252,10538,159,10697,2360,3998,1410776,11,0,81.82,0.76
Andhra Pradesh,18,18,Kurnoolu,1722857,1334,1306288,13981,10394,117,10511,6389,2373,1339542,7,0,77.69,0.78
Andhra Pradesh,19,19,Ananthapur,1767591,1673,1411343,19886,9014,185,9199,3504,1566,1445498,0,0,81.7,0.64
Andhra Pradesh,20,20,Hindupur,1656775,1754,1378861,19507,17826,145,17971,7371,1153,1424863,0,0,85.91,1.26
