24 - Participation of Women Candidates in Poll,,,,,,,
,,,No. Of Women,,,% of Elected Women,
State /UT,Seats,Constituency Type,Contestants,Elected,Deposits Forfeited,Over Total Women Candidates in the State,Over total seats in State/UT
Andhra Pradesh,20,GEN,31,2,26,5.26,8
,4,SC,3,0,3,0,0
,1,ST,4,1,2,2.63,4
Andhra Pradesh,25,State Total,38,3,31,7.89,12
Arunachal Pradesh,2,GEN,1,0,1,0,0
,0,SC,0,0,0,0,0
,0,ST,0,0,0,0,0
Arunachal Pradesh,2,State Total,1,0,1,0,0
Assam,11,GEN,10,1,7,8.33,7.14
,1,SC,0,0,0,0,0
,2,ST,2,0,2,0,0
Assam,14,State Total,12,1,9,8.33,7.14
Bihar,34,GEN,34,4,26,10.26,10
,6,SC,5,1,3,2.56,2.5
,0,ST,0,0,0,0,0
Bihar,40,State Total,39,5,29,12.82,12.5
Goa,2,GEN,3,0,2,0,0
,0,SC,0,0,0,0,0
,0,ST,0,0,0,0,0
Goa,2,State Total,3,0,2,0,0
Gujarat,20,GEN,15,4,8,21.05,16
,2,SC,2,0,2,0,0
,4,ST,2,0,1,0,0
Gujarat,25,State Total,19,4,11,21.05,16
Haryana,8,GEN,13,0,13,0,0
,2,SC,3,1,1,6.25,10
,0,ST,0,0,0,0,0
Haryana,10,State Total,16,1,14,6.25,10
Himachal Pradesh,3,GEN,3,1,2,33.33,25
,1,SC,0,0,0,0,0
,0,ST,0,0,0,0,0
Himachal Pradesh,4,State Total,3,1,2,33.33,25
Karnataka,21,GEN,34,3,26,7.14,10.71
,5,SC,7,0,7,0,0
,2,ST,1,0,1,0,0
Karnataka,28,State Total,42,3,34,7.14,10.71
Kerala,18,GEN,23,0,18,0,0
,2,SC,2,0,0,0,0
,0,ST,0,0,0,0,0
Kerala,20,State Total,25,0,18,0,0
Madhya Pradesh,19,GEN,15,2,12,7.69,6.9
,4,SC,3,1,2,3.85,3.45
,6,ST,8,3,5,11.54,10.34
Madhya Pradesh,29,State Total,26,6,19,23.08,20.69
Maharashtra,39,GEN,90,6,78,5.41,12.5
,5,SC,13,1,11,0.9,2.08
,4,ST,8,0,5,0,0
Maharashtra,48,State Total,111,7,94,6.31,14.58
Manipur,1,GEN,0,0,0,0,0
,0,SC,0,0,0,0,0
,1,ST,0,0,0,0,0
